name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general
Mount Pilchuck - Winter,North Cascades -- Mountain Loop Highway,"11.0 miles, roundtrip",2600,4000,3.33,Mountain views|Summits,"A popular summer destination, Pilchuck requires more experience with routefinding and snow gear in the winter. Be sure to have both should you venture here when snow or ice are present.",roundtrip,11,North Cascades
Mount Peak (Pinnacle Peak),Puget Sound and Islands -- Seattle-Tacoma Area,"1.8 miles, roundtrip",1000,1800,3.23,Mountain views|Dogs allowed on leash|Summits,"There are many names for this short little hike. Mount Pete, Mount Peak, Pinnacle Peak Park, Cal Magnusson Trail.",roundtrip,1.8,Puget Sound and Islands
Mount Aix,Mount Rainier Area -- Chinook Pass - Hwy 410,"12.0 miles, roundtrip",4650,7766,4.50,Mountain views|Dogs allowed on leash|Summits|Ridges/passes,"The Mount Aix trail leads to a lofty world above the tree line, with views in all directions, and access to other trails for wandering in the open. On a clear day, you can see Mount Adams, Mount St. Helens, the Goat Rocks, Mount Rainier, and the Stuart Range, just to mention the more identifiable peaks.",roundtrip,12,Mount Rainier Area
Mount Muller,Olympic Peninsula -- Northern Coast,"12.7 miles, roundtrip",3350,3748,3.50,Wildflowers/Meadows|Mountain views|Ridges/passes,"Mount Muller offers breathtaking views from a breathtaking trail -- it's a steep climb, but those who make it to the lofty ridgeline are rewarded with a panorama that includes the Strait of Juan de Fuca, massive Mount Olympus, and sapphire, sparkling Lake Crescent.",roundtrip,12.7,Olympic Peninsula
Monahan Mountain,Snoqualmie Region -- Snoqualmie Pass,"5.0 miles, roundtrip",1600,3775,0.00,,Scramble to this peak in the Snoqualmie Pass region. Route finding experience recommended.,roundtrip,5,Snoqualmie Region
Mount Adams Highline,South Cascades -- Mount Adams Area,"22.2 miles, roundtrip",1550,7750,3.71,Wildflowers/Meadows|Mountain views|Lakes,"Climb the north side of the mountain to spectacular alpine tundra and panoramic views on Devil's Garden, situated on a high plateau below the heavily-crevassed Lava and Lyman Glaciers, then head down to Avalanche Valley below the rugged and remote northeast side of the mountain. You'll make two challenging stream crossings before reaching Devil's Garden.",roundtrip,22.2,South Cascades
Mount Jupiter,Olympic Peninsula -- Hood Canal,"14.0 miles, roundtrip",3950,5701,3.18,Wildflowers/Meadows|Mountain views|Summits,A long road walk through a logging operation is required to access this trailhead.,roundtrip,14,Olympic Peninsula
Mount Gardner,Snoqualmie Region -- Snoqualmie Pass,"12.0 miles, roundtrip",1500,3800,2.80,Mountain views|Wildlife|Dogs allowed on leash,Access to Mount Gardner has been closed by a gate and a washout.,roundtrip,12,Snoqualmie Region
Mosier Creek Falls and Mosier Plateau,Southwest Washington -- Columbia River Gorge - OR,"2.5 miles, roundtrip",540,581,5.00,Wildflowers/Meadows|Rivers|Good for kids|Waterfalls,This is a short hike to a beautiful two-tiered falls along Mosier Creek on the Oregon side of the Columbia River Gorge. Continue on to get up to a plateau where views of the Gorge await you.,roundtrip,2.5,Southwest Washington
Anacortes Community Forest Lands - Mount Erie,Puget Sound and Islands -- Whidbey Island,"5.0 miles, roundtrip",1000,1300,4.31,Mountain views|Wildlife|Dogs allowed on leash|Summits|Lakes|Coast,"At 1300 feet, Mount Erie marks the high point of Fidalgo Island. While it's accessible via a road, the hike up to the summit is heart-pounding, and makes an excellent outing for the day, or just a few hours.",roundtrip,5,Puget Sound and Islands
Mineral Creek,Snoqualmie Region -- Salmon La Sac/Teanaway,"5.4 miles, one-way",2570,4900,2.50,Mountain views|Old growth|Lakes|Established campsites|Ridges/passes,Here's a quiet but extremely rough trail that provides access to the Pacific Crest Trail from Salmon La Sac.,one-way,10.8,Snoqualmie Region
Miller River Road Snowshoe,Central Cascades -- Stevens Pass - West,"7.4 miles, roundtrip",700,2200,0.00,Old growth|Good for kids|Rivers,"In winter, and, as with all showshoeing, the right gear, it is possible to snowshoe the Miller River Road to the Dorothy Lake Trailhead.",roundtrip,7.4,Central Cascades
Monte Carlo,Southwest Washington -- Columbia River Gorge - WA,"10.0 miles, roundtrip",2560,3360,1.75,Wildflowers/Meadows|Mountain views|Old growth|Summits,"Get a good workout on this trail that climbs to a summit with views of the south Cascade range. Continue on to make it a longer hike, continuing down into deep forest to the south trailhead.",roundtrip,10,Southwest Washington
Historic Columbia River Highway State Trail - Mosier Twin Tunnels,Southwest Washington -- Columbia River Gorge - OR,"9.4 miles, roundtrip",730,540,2.00,Wildflowers/Meadows|Dogs allowed on leash|Good for kids|Rivers,"After it was deemed impractical for cars, the old Columbia River Highway was closed to traffic, and opened to hikers and bikers! The winding route of this historic highway hearkens back to a time when roads were designed for Sunday drives, and the twists and turns of the highway make for a diverting hike or bike along the scenic Columbia River Gorge.",roundtrip,9.4,Southwest Washington
Middle Fork Snoqualmie River,Snoqualmie Region -- North Bend Area,"12.0 miles, roundtrip",200,1100,3.74,Mountain views|Wildlife|Waterfalls|Old growth|Good for kids|Dogs allowed on leash|Rivers,"This long, meandering hike heads upstream along the Middle Fork of the Snoqualmie River, offering a long day hike, or a great beginning backpacking experience.",roundtrip,12,Snoqualmie Region
Mildred Lakes,Olympic Peninsula -- Hood Canal,"9.0 miles, roundtrip",2300,4100,3.50,Lakes,"Take a sojourn in the Hood Canal Ranger District on this way trail within Mount Skokomish Wilderness. If you're looking for solitude, you'll find it on this out-of-the-way gem in the Olympic National Forest.",roundtrip,9,Olympic Peninsula
Mesatchee Creek,Mount Rainier Area -- Chinook Pass - Hwy 410,"2.4 miles, roundtrip",100,3680,3.00,Wildflowers/Meadows|Wildlife|Waterfalls|Dogs allowed on leash|Lakes|Rivers,"If you want both a walk in the sunshine and a walk through the trees, Mesatchee Creek is the place to go! Keep your feet dry on the turnpikes and bridge made by WTA.",roundtrip,2.4,Mount Rainier Area
McGarvey Park,Issaquah Alps,"5.0 miles, roundtrip",400,851,3.00,Dogs allowed on leash|Good for kids,"Acquired by King County in 2000, McGarvey Park Open Space is a 400-acre multiuse forest connecting King County’s Petrovitsky Park with Wetland 14 Natural Area and Spring Lake/Lake Desire Park.",roundtrip,5,Issaquah Alps
Melakwa Lake,Snoqualmie Region -- Snoqualmie Pass,"8.5 miles, roundtrip",2700,4600,4.21,Ridges/passes|Dogs allowed on leash|Established campsites|Waterfalls|Old growth|Lakes|Rivers,"The way to Melakwa Lake is like two different trails: first a wide gentle trail through old growth forest beneath an elevated and noisy Interstate freeway. And second, a rocky steep trail that follows a waterfall and a precipitous gorge upstream to get to a pair of clear alpine lakes flanked by rocky peaks. Is it about the journey or the destination? You decide.",roundtrip,8.5,Snoqualmie Region
McDonald Mountain,Puget Sound and Islands -- Seattle-Tacoma Area,"9.0 miles, roundtrip",2300,3750,4.29,Mountain views|Wildlife|Dogs allowed on leash|Ridges/passes,"A local favorite, McDonald Mountain offers great views from the summit and a good workout on the way there. But it borders the Green River Watershed, so please stay on trail to avoid accidentally entering the watershed, which is closed to the public.",roundtrip,9,Puget Sound and Islands
Coyote Wall - Moab/Maui Loop ,Southwest Washington -- Columbia River Gorge - WA,"3.8 miles, roundtrip",850,900,4.00,Wildflowers/Meadows|Dogs allowed on leash|Good for kids|Rivers,"The Maui Loop is more of an adventure than a hike. You get to go up, over and around mogul-like mounds peppered with volcanic rock, explore the upper rim of Coyote Wall, and descend a grassy slope with uninterrupted views of the Colombia River Gorge. In the spring there is a steady progression of wildflowers, making this an especially good early-season hike.",roundtrip,3.8,Southwest Washington
Melmont Ghost Town,Mount Rainier Area -- NW - Carbon River/Mowich,"6.0 miles, roundtrip",100,1360,3.21,Wildflowers/Meadows|Ridges/passes|Wildlife|Established campsites|Mountain views|Old growth|Good for kids|Rivers,"A great exploratory hike to an old coal mining ghost town, with views of the underside of the Fairfax bridge.",roundtrip,6,Mount Rainier Area
Capitol State Forest - McLane Creek,Olympic Peninsula -- Olympia,"1.5 miles, roundtrip",50,60,3.82,Dogs allowed on leash|Wildlife|Good for kids|Lakes|Fall foliage,"This is one of the best places to go if you're looking for wildlife and a little leg-stretchers. McLane Creek's boardwalk provides an intimate glimpse into nature, whether it's swimming families of news, spawning salmon, or laughing ducks. As always, please refrain from feeding the wildlife.",roundtrip,1.5,Olympic Peninsula
Mary E. Theler Wetlands Nature Preserve,Olympic Peninsula -- Kitsap Peninsula,"3.5 miles, roundtrip",50,50,2.92,Wildlife|Good for kids|Dogs not allowed|Fall foliage,"Located at the head of Hood Canal, Theler Wetlands consists of more than 3 miles of accessible walking trails within 139 acres of protected salt marsh and estuary wetlands. If they’re open, you and your family can discover the displays and hands-on exhibits that teach more about the wetlands ecosystem.",roundtrip,3.5,Olympic Peninsula
Miller Peak,Snoqualmie Region -- Salmon La Sac/Teanaway,"8.8 miles, roundtrip",3200,6400,2.86,Wildflowers/Meadows|Wildlife|Summits|Dogs allowed on leash,"Miller Peak is an excellent, challenging day hike, which gains 3200 feet to the high point. But all that climbing affords you breathtaking views of the Stuarts, and much of the Teanaway area, as well as Mount Rainier.",roundtrip,8.8,Snoqualmie Region
Mildred Point,Mount Rainier Area -- SW - Longmire/Paradise,"7.0 miles, roundtrip",3135,5900,4.78,Wildflowers/Meadows|Mountain views|Waterfalls|Old growth|Dogs not allowed|Ridges/passes,"A moderately strenuous hike that traverses a forested ridge, climbs to alpine meadows and ends at a 6000 foot viewpoint with a spectacular view of the west side of Mount Rainier. Waterfalls and wildflowers abound.",roundtrip,7,Mount Rainier Area
McGregor Mountain,Central Cascades -- Entiat Mountains/Lake Chelan,"16.0 miles, roundtrip",6200,8122,3.00,Wildflowers/Meadows|Mountain views|Summits|Lakes,"The most prominent peak in the Stehekin Valley, McGregor Mountain offers commanding views of the valley, Lake Chelan and a wide swath of the North Cascades, in addition to a high alpine environment that is equaled by few other trails anywhere. Though long and challenging, the trail is moderate in pitch, gaining a little over 6,000 feet in elevation over a measured eight miles, until the final scramble to the summit.",roundtrip,16,Central Cascades
Lover's Lane Loop,Olympic Peninsula -- Northern Coast,"5.8 miles, roundtrip",480,2000,3.30,Established campsites|Waterfalls|Old growth|Good for kids|Dogs not allowed|Fall foliage|Rivers,"The Lover's Lane trail follows the Sol Duc river upstream, connecting Sol Duc campground, Sol Duc Falls and the resort.",roundtrip,5.8,Olympic Peninsula
Lower Falls Creek Trail,Southwest Washington -- Columbia River Gorge - WA,"3.4 miles, roundtrip",600,1410,3.80,Old growth|Rivers|Good for kids|Dogs allowed on leash|Waterfalls,"Discover a waterfall utopia with triple the falls and a wonderful place to put down your pack, enjoy some snacks and snap some incredible photos.",roundtrip,3.4,Southwest Washington
Long Lake,South Cascades -- White Pass/Cowlitz River Valley,"3.8 miles, roundtrip",500,4300,2.75,Wildflowers/Meadows|Ridges/passes|Wildlife|Established campsites|Old growth|Good for kids|Lakes,"Long Lake is a great option for those looking for a short hike to get back into the swing of things for the hiking season. It's relatively short and gains elevation steadily, so hikers can choose to make it an easy hike or bring a heavier pack for a bit more of a workout.",roundtrip,3.8,South Cascades
Longs Pass,Snoqualmie Region -- Salmon La Sac/Teanaway,"5.8 miles, roundtrip",2100,6250,4.36,Wildflowers/Meadows|Mountain views|Dogs not allowed|Good for kids,"Longs Pass provides unbelievable views, but only after an unbelievable amount of elevation gain. In less than 3 miles, you'll climb more than 2000 feet in elevation -- that's quite like climbing a staircase for three miles. It's shady the first half, but soon comes out into an exposed area; bring as much water as you can carry!",roundtrip,5.8,Snoqualmie Region
Loowit Falls,South Cascades -- Mount St. Helens,"9.2 miles, roundtrip",1200,4575,4.86,Wildflowers/Meadows|Mountain views|Wildlife|Dogs not allowed|Waterfalls,Hike to a glacier-fed waterfall pouring out of the heart of a volcano. It doesn’t get much more dramatic than that.,roundtrip,9.2,South Cascades
